EPOCH=001,Accuracy= 57.870%
EPOCH=002,Accuracy= 71.160%
EPOCH=003,Accuracy= 74.710%
EPOCH=004,Accuracy= 77.930%
EPOCH=005,Accuracy= 78.900%
EPOCH=006,Accuracy= 81.360%
EPOCH=007,Accuracy= 80.370%
EPOCH=008,Accuracy= 85.210%
EPOCH=009,Accuracy= 84.910%
EPOCH=010,Accuracy= 83.090%
EPOCH=011,Accuracy= 86.410%
EPOCH=012,Accuracy= 87.040%
EPOCH=013,Accuracy= 86.700%
EPOCH=014,Accuracy= 87.230%
EPOCH=015,Accuracy= 85.360%
EPOCH=016,Accuracy= 87.140%
EPOCH=017,Accuracy= 87.460%
EPOCH=018,Accuracy= 88.570%
EPOCH=019,Accuracy= 89.340%
EPOCH=020,Accuracy= 88.760%
